# The ehrbase-rs Conformance Catalogue (ECC) — allocated case numbers.
# ecc_id<TAB>area<TAB>status<TAB>primary_ref<TAB>title
# Numbers are allocated once and NEVER reused; retire, don't delete.
# Regenerate additions: REGEN_CATALOG=1 cargo test -p conformance --test coverage
ECC-EHR-001	EHR	active	ehr/has-ehr-existing-ehr-id	EHR existence check — existing EHR id
ECC-EHR-002	EHR	active	ehr/has-ehr-existing-subject-id	EHR existence check — existing subject id
ECC-EHR-003	EHR	active	ehr/has-ehr-non-existing-ehr-id	EHR existence check — non existing EHR id
ECC-EHR-004	EHR	active	ehr/has-ehr-non-existing-subject-id	EHR existence check — non existing subject id
ECC-EHR-005	EHR	active	ehr/create-ehr-main	Create EHR — main
ECC-EHR-006	EHR	active	ehr/create-ehr-same-ehr-twice	Create EHR — same EHR twice
ECC-EHR-007	EHR	active	ehr/create-ehr-two-ehrs-same-patient	Create EHR — two EHRs same patient
ECC-EHR-008	EHR	active	ehr/get-ehr-existing-ehr-by-ehr-id	Get EHR — existing EHR by EHR id
ECC-EHR-009	EHR	active	ehr/get-ehr-existing-ehr-by-subject-id	Get EHR — existing EHR by subject id
ECC-EHR-010	EHR	active	ehr/get-ehr-get-ehr-by-invalid-ehr-id	Get EHR — get EHR by invalid EHR id
ECC-EHR-011	EHR	active	ehr/get-ehr-get-ehr-by-invalid-subject-id	Get EHR — get EHR by invalid subject id
ECC-STA-001	STA	active	sta/get-ehr-status-get-by-ehr-id	Get EHR_STATUS — get by EHR id
ECC-STA-002	STA	active	sta/get-ehr-status-bad-ehr	Get EHR_STATUS — bad EHR
ECC-STA-003	STA	active	sta/set-ehr-queryable-existing-ehr	Set EHR_STATUS is_queryable — existing EHR
ECC-STA-004	STA	active	sta/set-ehr-queryable-bad-ehr	Set EHR_STATUS is_queryable — bad EHR
ECC-STA-005	STA	active	sta/set-ehr-modifiable-existing-ehr	Set EHR_STATUS is_modifiable — existing EHR
